entity_name|licensee_type_cd|license_number|status|BLANK|city|zip|county|entity_name|licensee_type_cd|license_number|status|expiration_date|first_issue_date|city|state|zip|county|Action
ADAM CARTER|E|86549|CANCELLED||HAYWARD|94544|ALAMEDA|ADAM CARTER|ELECTRONIC REPAIR|86549|CANCELLED Definition|August    31, 2011|August    26, 2010|HAYWARD|CA|94544|ALAMEDA|No
ADCOMM|E|84001|CANCELLED||SAN LEANDRO|94579|ALAMEDA|ADCOMM|ELECTRONIC REPAIR|84001|CANCELLED Definition|February  28, 2010|February  25, 2008|SAN LEANDRO|CA|94579|ALAMEDA|No
ADI SYSTEMS, INC.|E|25245|CANCELLED||NEWARK|94560|ALAMEDA|ADI SYSTEMS, INC.|ELECTRONIC REPAIR|25245|CANCELLED Definition|February  29, 2004|March     27, 1986|NEWARK|CA|94560|ALAMEDA|No
ADVANCE TECHNOLOGY 2000 INC|E|84682|CLEAR||ALBANY|94706|ALAMEDA|ADVANCE TECHNOLOGY 2000 INC|ELECTRONIC REPAIR|84682|CLEAR Definition|October   31, 2015|October   02, 2008|ALBANY|CA|94706|ALAMEDA|No
ADVANCED COMPUTER TECHNOLOGIES|E|77502|CANCELLED||DUBLIN|94568|ALAMEDA|ADVANCED COMPUTER TECHNOLOGIES|ELECTRONIC REPAIR|77502|CANCELLED Definition|December  31, 2001|December  23, 1999|DUBLIN|CA|94568|ALAMEDA|No
ADVANCED COMPUTER TECHNOLOGIES, INC.|E|78133|CANCELLED||DUBLIN|94568|ALAMEDA|ADVANCED COMPUTER TECHNOLOGIES, INC.|ELECTRONIC REPAIR|78133|CANCELLED Definition|January   31, 2014|January   03, 2001|DUBLIN|CA|94568|ALAMEDA|No
ADVANCED DIGITAL SOLUTIONS INTERNATIONAL, INC.|E|77251|CANCELLED||FREMONT|94538|ALAMEDA|ADVANCED DIGITAL SOLUTIONS INTERNATIONAL, INC.|ELECTRONIC REPAIR|77251|CANCELLED Definition|July      31, 2002|July      26, 1999|FREMONT|CA|94538|ALAMEDA|No
ADVANCED MECHANICAL SERVICE|A|40285|CANCELLED||OAKLAND|94605|ALAMEDA|ADVANCED MECHANICAL SERVICE|MAJOR APPLIANCE REPAIR|40285|CANCELLED Definition|August    31, 1993|June      15, 1990|OAKLAND|CA|94605|ALAMEDA|No
ADVANCED TECHNOLOGY|E|70807|CANCELLED||HAYWARD|94544|ALAMEDA|ADVANCED TECHNOLOGY|ELECTRONIC REPAIR|70807|CANCELLED Definition|September 30, 1999|September 22, 1992|HAYWARD|CA|94544|ALAMEDA|No
ADVANCED VEHICLE SECURITY, INC.|E|74785|CANCELLED||OAKLAND|946074428|ALAMEDA|ADVANCED VEHICLE SECURITY, INC.|ELECTRONIC REPAIR|74785|CANCELLED Definition|July      31, 1997|July      01, 1996|OAKLAND|CA|94607-4428|ALAMEDA|No
AERO APPLIANCE SERVICE|A|40092|CLEAR||FREMONT|94536|ALAMEDA|AERO APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|40092|CLEAR Definition|September 30, 2015|November  13, 1989|FREMONT|CA|94536|ALAMEDA|No
AFFORDABLE APPLIANCE|A|40121|CANCELLED||HAYWARD|94541|ALAMEDA|AFFORDABLE APPLIANCE|MAJOR APPLIANCE REPAIR|40121|CANCELLED Definition|June      30, 1992|December  20, 1989|HAYWARD|CA|94541|ALAMEDA|No
AFRIDI'S COMPUTER AND NETWORK SOLUTIONS|E|85977|CANCELLED||FREMONT|94536|ALAMEDA|AFRIDI'S COMPUTER AND NETWORK SOLUTIONS|ELECTRONIC REPAIR|85977|CANCELLED Definition|October   31, 2010|October   07, 2009|FREMONT|CA|94536|ALAMEDA|No
AFTER BUSINESS HOURS APPLIANCE SERVICE|A|46672|CLEAR||UNION CITY|94587|ALAMEDA|AFTER BUSINESS HOURS APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|46672|CLEAR Definition|February  29, 2016|February  12, 2014|UNION CITY|CA|94587|ALAMEDA|No
AIDA SYSTEMS CORPORATION|E|84947|CLEAR||DUBLIN|94568|ALAMEDA|AIDA SYSTEMS CORPORATION|ELECTRONIC REPAIR|84947|CLEAR Definition|February  29, 2016|February  02, 2009|DUBLIN|CA|94568|ALAMEDA|No
AIRCORD APPLIANCES REPAIR|A|40991|CANCELLED||HAYWARD|94541|ALAMEDA|AIRCORD APPLIANCES REPAIR|MAJOR APPLIANCE REPAIR|40991|CANCELLED Definition|February  28, 1993|February  28, 1992|HAYWARD|CA|94541|ALAMEDA|No
AIRPORT APPLIANCE|A|43982|CLEAR||HAYWARD|94545|ALAMEDA|AIRPORT APPLIANCE|MAJOR APPLIANCE REPAIR|43982|CLEAR Definition|July      31, 2015|July      02, 2003|HAYWARD|CA|94545|ALAMEDA|No
AIRTECH APPLIANCES|A|46724|CLEAR||HAYWARD|94541|ALAMEDA|AIRTECH APPLIANCES|MAJOR APPLIANCE REPAIR|46724|CLEAR Definition|April     30, 2015|April     30, 2014|HAYWARD|CA|94541|ALAMEDA|No
AIRTECH SOLUTIONS|A|46074|CLEAR||HAYWARD|94541|ALAMEDA|AIRTECH SOLUTIONS|MAJOR APPLIANCE REPAIR|46074|CLEAR Definition|July      31, 2015|July      06, 2011|HAYWARD|CA|94541|ALAMEDA|No
AKIBIA, INC.|E|76858|CANCELLED||FREMONT|94538|ALAMEDA|AKIBIA, INC.|ELECTRONIC REPAIR|76858|CANCELLED Definition|December  31, 2008|December  16, 1998|FREMONT|CA|94538|ALAMEDA|No
AL APPLIANCE REPAIR|A|45981|CLEAR||SAN LEANDRO|94578|ALAMEDA|AL APPLIANCE REPAIR|MAJOR APPLIANCE REPAIR|45981|CLEAR Definition|February  29, 2016|February  18, 2011|SAN LEANDRO|CA|94578|ALAMEDA|No
AL'S REFRIGERATION  & APPLIANCES SERVICES|A|44944|CANCELLED||SAN LEANDRO|94579|ALAMEDA|AL'S REFRIGERATION  & APPLIANCES SERVICES|MAJOR APPLIANCE REPAIR|44944|CANCELLED Definition|July      31, 2008|July      05, 2007|SAN LEANDRO|CA|94579|ALAMEDA|No
AL-KITS APPLIANCE|A|36340|CANCELLED||UNION CITY|94587|ALAMEDA|AL-KITS APPLIANCE|MAJOR APPLIANCE REPAIR|36340|CANCELLED Definition|June      30, 1990|UNION CITY|CA|94587|ALAMEDA|No
ALADDIN PHONE MASTER|E|24975|CANCELLED||SAN LEANDRO|94577|ALAMEDA|ALADDIN PHONE MASTER|ELECTRONIC REPAIR|24975|CANCELLED Definition|March     31, 1996|October   28, 1985|SAN LEANDRO|CA|94577|ALAMEDA|No
ALAMEDA APPLIANCE SERVICE|A|30057|CANCELLED||ALAMEDA|94501|ALAMEDA|ALAMEDA APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|30057|CANCELLED Definition|June      30, 1989|May       04, 1973|ALAMEDA|CA|94501|ALAMEDA|No
ALAMEDA AUDIO VIDEO SERVICE|E|26419|CANCELLED||ALAMEDA|94501|ALAMEDA|ALAMEDA AUDIO VIDEO SERVICE|ELECTRONIC REPAIR|26419|CANCELLED Definition|June      30, 1992|June      25, 1987|ALAMEDA|CA|94501|ALAMEDA|No
ALAMEDA AUDIO/VIDEO|E|70545|CANCELLED||ALAMEDA|94501|ALAMEDA|ALAMEDA AUDIO/VIDEO|ELECTRONIC REPAIR|70545|CANCELLED Definition|July      31, 1994|July      01, 1992|ALAMEDA|CA|94501|ALAMEDA|No
ALAMEDA AUDIO/VIDEO SERVICE|E|73217|CANCELLED||ALAMEDA|94501|ALAMEDA|ALAMEDA AUDIO/VIDEO SERVICE|ELECTRONIC REPAIR|73217|CANCELLED Definition|January   31, 1996|January   27, 1995|ALAMEDA|CA|94501|ALAMEDA|No
ALAMEDA AV LLC|E|82217|CANCELLED||ALAMEDA|94501|ALAMEDA|ALAMEDA AV LLC|ELECTRONIC REPAIR|82217|CANCELLED Definition|January   31, 2007|January   04, 2006|ALAMEDA|CA|94501|ALAMEDA|No
ALAMEDA BUSINESS MACHINES|E|84789|CLEAR||ALAMEDA|94501|ALAMEDA|ALAMEDA BUSINESS MACHINES|ELECTRONIC REPAIR|84789|CLEAR Definition|November  30, 2015|November  10, 2008|ALAMEDA|CA|94501|ALAMEDA|No
ALAMEDA COMPUTER CLINIC BY USATEKS|E|84329|CANCELLED||ALAMEDA|94501|ALAMEDA|ALAMEDA COMPUTER CLINIC BY USATEKS|ELECTRONIC REPAIR|84329|CANCELLED Definition|June      30, 2013|June      09, 2008|ALAMEDA|CA|94501|ALAMEDA|No
ALAMEDA COMPUTER DOCTOR|E|84706|DELINQUENT||ALAMEDA|94501|ALAMEDA|ALAMEDA COMPUTER DOCTOR|ELECTRONIC REPAIR|84706|DELINQUENT Definition|October   31, 2011|October   06, 2008|ALAMEDA|CA|94501|ALAMEDA|No
ALAMEDA COUNTY APPLIANCE|A|38615|CANCELLED||HAYWARD|94541|ALAMEDA|ALAMEDA COUNTY APPLIANCE|MAJOR APPLIANCE REPAIR|38615|CANCELLED Definition|June      30, 1990|July      24, 1986|HAYWARD|CA|94541|ALAMEDA|No
